Item type 1;item name 1;Item type 2;item name 2;;Code;Name
C;AAGLPP301;A;GLPI - Master;;C;Computer
C;AAADDC712;A;GLPI - Master;;A;Appliance
C;AAADDC711;A;GLPI - Master;;N;Network Equipment
A;GLPI - OCS;A;GLPI - Master;;S;Software
A;GLPI - ProcessMaker;A;GLPI - Master;;;
A;GLPI - Master;A;GLPI - Piwik;;;
A;GLPI - Master;A;GLPI - Supervision;;;
A;GLPI - Master;A;GLPI - Slave;;;
A;GLPI - Slave;A;BI (BO / BW);;;
A;GLPI - Slave;A;GLPI - Intranet;;;
A;GLPI - Intranet;A;Intranet / sharepoint - FrontOffice;;;
A;Intranet / sharepoint - FrontOffice;A;GLPI - Intranet;;;
C;AAGLPP301;A;GLPI - ProcessMaker;;;
A;SWING;A;GLPI - ProcessMaker;;;
C;AAGLPP303;A;GLPI - OCS;;;
C;AAGLPP302;A;GLPI - Slave;;;
C;AAGLPP301;A;GLPI - Slave;;;
C;AAGLPP301;A;GLPI - Piwik;;;
C;AAGLPP301;A;GLPI - Supervision;;;
C;AAPROD32;A;GLPI - Intranet;;;
C;AAGLPP302;A;GLPI - Intranet;;;
C;AAWWWP304;A;Intranet / sharepoint - FrontOffice;;;
C;AAPROD303;A;Intranet / sharepoint - FrontOffice;;;
C;AAOWAP301;A;Intranet / sharepoint - FrontOffice;;;
C;AAOWAP302;A;Intranet / sharepoint - FrontOffice;;;
N;AANVLB701;A;Intranet / sharepoint - FrontOffice;;;
N;AANVLB701;C;AAOWAP301;;;
N;AANVLB701;C;AAOWAP302;;;
C;AARPRO30;A;EEEPRO - Dashboard (EMEA);;;
C;AARPRO30;A;EEEPRO - Machine (EMEA);;;
C;AARPRO30;A;EEEPRO - Server (EMEA);;;
C;AARPRO30;A;EEEPRO - Supervision (EMEA);;;
C;AARPRO301;A;EEEPRO - Dashboard (EMEA);;;
C;AARPRO301;A;EEEPRO - Machine (EMEA);;;
C;AARPRO301;A;EEEPRO - Server (EMEA);;;
C;AARPRO301;A;EEEPRO - Supervision (EMEA);;;
C;AARPRO302;A;EEEPRO - Dashboard (EMEA);;;
C;AARPRO302;A;EEEPRO - Machine (EMEA);;;
C;AARPRO302;A;EEEPRO - Server (EMEA);;;
C;AARPRO302;A;EEEPRO - Supervision (EMEA);;;
C;AARPRO50;A;EEEPRO - Dashboard (NCSA);;;
C;AARPRO50;A;EEEPRO - Machine (NCSA);;;
C;AARPRO50;A;EEEPRO - Server (NCSA);;;
C;AARPRO50;A;EEEPRO - Supervision (NCSA);;;
C;AARPRO60;A;EEEPRO - Dashboard (APAC);;;
C;AARPRO60;A;EEEPRO - Machine (APAC);;;
C;AARPRO60;A;EEEPRO - Server (APAC);;;
C;AARPRO60;A;EEEPRO - Supervision (APAC);;;
C;DDRPRO201;A;EEEPRO - Dashboard (DD);;;
C;DDRPRO201;A;EEEPRO - Machine (DD);;;
C;DDRPRO201;A;EEEPRO - Server (DD);;;
C;DDRPRO201;A;EEEPRO - Supervision (DD);;;
C;AAWIPR31;A;FFFFCHILL - Central;;;
C;AAODBR701;A;FFFFCHILL - Database;;;
C;AAODBR702;A;FFFFCHILL - Database;;;
C;AAODBR703;A;FFFFCHILL - Database;;;
C;AAODBR801;A;FFFFCHILL - Database;;;
C;AAODBR802;A;FFFFCHILL - Database;;;
C;AAODBR803;A;FFFFCHILL - Database;;;
A;AADIPR301;A;FFFFCHILL - Instance;;;
C;AALICP701;A;FFFFCHILL - Licensing;;;
C;AALICP702;A;FFFFCHILL - Licensing;;;
C;AALICP703;A;FFFFCHILL - Licensing;;;
C;AAWPSM301;A;FFFFCHILL - Monitoring;;;
C;CCWIRP20;A;FFFFCHILL - Replica;;;
C;JPWIRP20;A;FFFFCHILL - Replica;;;
C;USWIRP20;A;FFFFCHILL - Replica;;;
C;AAWIPR36;A;FFFFCHILL - Slave;;;
C;AAWIPR37;A;FFFFCHILL - Slave;;;
C;AAWIPR38;A;FFFFCHILL - Slave;;;
C;AAPICW701;A;FFFFCHILL - Workers;;;
C;AAPICW801;A;FFFFCHILL - Workers;;;
C;AAONEP301;A;FFFFCHILL - Windows Indexing;;;
A;AADIPR301;C;AAWIPR31;;;
C;AAPICW701;C;AAWIPR31;;;
C;AAPICW801;C;AAWIPR31;;;
C;AAODBR701;A;AADIPR301;;;
C;AAODBR702;A;AADIPR301;;;
C;AAODBR703;A;AADIPR301;;;
C;AAODBR801;A;AADIPR301;;;
C;AAODBR802;A;AADIPR301;;;
C;AAODBR803;A;AADIPR301;;;
C;AAWIPR31;C;AAWIPR36;;;
C;AAWIPR31;C;AAWIPR37;;;
C;AAWIPR31;C;AAWIPR38;;;
C;AALICP701;C;AAPICW701;;;
C;AALICP702;C;AAPICW701;;;
C;AALICP703;C;AAPICW701;;;
C;AALICP701;C;AAPICW801;;;
C;AALICP702;C;AAPICW801;;;
C;AALICP703;C;AAPICW801;;;
C;AAWIPR38;C;AAONEP301;;;
C;BBDC1FX120;C;AAODBR701;;;
C;BBDC1FX120;C;AALICP702;;;
C;BBDC1FX121;C;AAODBR701;;;
C;BBDC1FX121;C;AALICP702;;;
C;BBDC1FX122;C;AAODBR702;;;
C;BBDC1FX122;C;AALICP703;;;
C;BBDC1FX123;C;AAODBR702;;;
C;BBDC1FX123;C;AALICP703;;;
C;CCDC2FX120;C;AAODBR801;;;
C;CCDC2FX121;C;AAODBR801;;;
C;CCDC2FX122;C;AAODBR802;;;
C;CCDC2FX123;C;AAODBR802;;;
S;MySQL server 5.7;A;GLPI - Master;;;
